Circuit,Aero,Differential,Susp. geometry,Suspension,Brakes,Tires Q,Tires R,Fuel (50%),Strategy (50%),,Other notes,,,,,,,Compounds
Bahrain,50-40 (46-36r),55-51,RRLL,38-8 9-1 32-39,100 / 56,22.2 20.0,22.4 20.0,30.9 laps (+1.9),SM 11-12/HM 15-17/MS 18-19,,test set,,,,,,,C1-C3
Saudi Arabia,37-27 (33-23r),50-51 (55-51r),RRLL,41-9 1-1 33-38,100 / 55q 56r*,22.0 20.0,22.4 20.0,25.5 laps (+0.5),SM 9-10/MS 15-16/HM 13-14,,from Maximilian Luckert,,"37-27 quali wing, don't touch hards ",,,,,C2-C4
Australia,39-31,55-50 (51r),RRLL,41-11 1-1 32-35,100 / 55q 56r,22.4 20.0,22.6 20.1,30.3 laps (+1.3),SM 12-13/MS 16-17/HM 13-16,,more normal set is 40-30 55-51 RRLL 41-9-4-1-32-38 100/56 22.5 20.0,,,,,,,C2-C4
China,46-33,55-50q 51r,RRLL,41-9 4-1 32-38,100 / 56,22.5 20.0,same as Q,29.9 laps (+1.9),HM 13-15/SM 10-11/MS 17-18,,50-35 quali,not as deadly as it sounds,,,,,,C2-C4
Azerbaijan,31-23,55-50q (52r),RRLL,35-7 4-1 30-36,100 / 55q 56-57r,22.4 20.0,same as Q,26.7 laps (+0.7),HM 12-15/HMM if SC,,do NOT try low wings unless you have a death wish,,,,,,,C3-C5
Miami,40-29,55-50 (51r),RRLL,38-8 4-1 32-38,100 / 56q 57r,22.3 20.0,22.6 20.0,30.3 laps (+1.4),HM 14-17/HMM if SC,,taken from Pogmeer Academy spreadsheet w slight modifications,,,,,,,C2-C4
Imola,43-30 (42-30r),55-50q 51r,RRLL,41-8 4-1 33-39,100/ 55q 56r,22.4 20.0,same as Q,33.5 laps (+1.5),MH 11-13/HM 15-17,,50 diff for T6 and T9 in quali. Could be confused with maximilian luckert's setup,,,,,,,C3-C5
Monaco,50-50,55-50 (51r),RRLL,30-9 8-3 32-39,100 / 50q 53r,22.0 20.0,same as Q,40.8 laps (+1.8),MH 13-15/HM 21-24,,avoid softs,"extremely old set, still works",,,,,,C3-C5
Spain,50-40 (47-37r),50-50,RRLL,41-12 4-1 33-38,100 / 54,22.5 20.0,22.6 20.0,34.4 laps (+1.4),SM 13-15/MS 20-22/HM 16-20,,from Maximilian Luckert,,lowest wings 46-36,,,,,C1-C3
Canada,47-38 (44-38r),55-50 (51r),RRLL,41-6 4-1 33-38,100 / 54q 56r,22.2 20.0,same as Q,36.4 laps (+1.4),"SMM 9,23/SM 14-16/MS 20-23",,"from Pogmeer Academy, slightly modified",,,,,,,C3-C5
Austria,40-28 (38-28r),55-50,RRLL,41-9 1-1 32-38,100 / 54q 56r,22.5 20.0,same as Q,37.3 laps (+1.3),MH 14-16/HM 21-23,,"55 T1/T3, 53 or 54 everywhere else. 50 diff for S2/S3 as well in Q",,,,,,,C3-C5
Great Britain,32-20,55-51,RRLL,41-8 3-1 31-36,100 / 55,23.0 20.5,same as Q,27.2 laps (+1.2),MS 15-16/SM 9-10/HM 13-15,,old ET8 leak,,,,,,,C1-C3
Hungary,50-45,50-50,RRLL,41-8 1-1 33-37,100 / 53q 54r,22.0 20.0,same as Q,36.9 laps (+1.9),"SM 14-15/MS 20-22/SMM 10, 23",,"again, tough to pass. 2stop very very fast",,,,,,,C2-C4
Belgium,24-15,55-50 (51r),RRLL,41-9 2-1 32-37,100 / 55,22.6 20.0,23.0 20.5,23.2 laps (+1.2),SM 9/MS 13-14/HM 12-15/SH 8,,"baseline set, rest in piss 2010 track model",,,,,,,C2-C4
Netherlands ,50-40,55-50,RRLL,37-7 1-1 33-39,100 / 54,22.6 20.0,same as Q,39.0 laps (+3.0),MH 14-16/HM 18-20/SM 14-15,,high wear. S-M is risky,,,,,,,C1-C3
Monza,17-10,55-51 (52r),RRLL,41-5 4-1 32-38,100 / 56 (54 S2/3),22.6 20.0,23.0 20.6,27.8 laps (+0.8),SM 10-11/MS 16-17/HM 14-17,,steer clear of this track,,,,,,,C2-C4
Singapore,50-46,55-50q 51r,RRLL,36-8 3-1 32-38,100 / 55q 56r,22.0 20.0,same as Q,32.3 laps (+1.3),HM 15-17/MH 12-14/HMM if SC,,avoid softs. 2stop not possible,,,,,,,C3-C5
Japan,43-33,55-50 ,RRLL,41-14 1-1 33-39,100 / 54q 55r,22.5 20.0,same as Q,29.7 laps (+2.7),S-M 11-12/MS 15-16/HM 14-16,,high wear on S-M. could also go S-H,,,,,,,C1-C3
Qatar,50-39,50-50,RRLL,41-15 3-1 33-38,100 / 52q 54r,23.0 20.5,same as Q,31.9 laps (+2.9),HM 15-17/SM 12/MS 17/SH 9-11,,SM/MS in normal weekend is HM/MH in sprints btw,,,,,,,C1-C3
United States,50-40,55-51,RRLL,41-5 1-1 32-40,100 / 56q 57r*,22.3 20.0,same as Q,29.6 laps (+1.6),HM 14-17/SM 11-12,,"softs are dogwater, high rh for stability (32 front rh possible)",,,,,,,C2-C4
Mexico,44-34,55-50q 51r,RRLL,41-6 2-1 32-38,100 / 56q 57r,22.6 20.0,same as Q,38.4 laps (+2.4),HM 19-22,,47-37 high race wings,,,,,,,C2-C4
Brazil ,46-32 ,50/55-50,RRLL,41-9 3-1 32-38,100 / 55,22.0 20.0,22.2 20.0,37.6 laps (+1.6),MS 20-22/SM 13-15/HM 18-21,,probably still understeery knowing this track,,,,,,,C2-C4
Las Vegas,15-10,55-52,RRLL,30-7 12-10 31-36,100 / 56q 57r,22.8 20.4,same as Q,25.0 laps (0.0),HM 12-14/SM 9-10/HMM if SC,,"hards feel terrible, caution advised / 30.8 pb",,,,,,,C3-C5
Abu Dhabi,43-35,55-50q 51r,RRLL,41-9 4-1 32-35,100 / 55q 56r,22.2 20.0,22.4 20.0,30.4 laps (+1.4),HM 14-17,,46-34 55-50q 51r RRLL 41-9-4-1-32-38 100/56 22.4-20.0 normal setup,,,,,,,C3-C5
Portugal,48-39 (50-41q),55-50 ,RRLL,41-8 3-1 33-38,100 / 55,22.4 20.0,same as Q,34.5 laps (+1.5),MS 18-20/SM 13-15,,hards are awful. Don't use them,,,,,,,C0-C3
France,39-29,50-50,RRLL,32-5 6-1 33-39,100 / 54q 55r,22.4 20.0,22.9 20.3,No Test,HM 14-17/SM 10-11/MS 16-17,,can go +5/-5 on wings,,,,,,,C2-C4
China Old,46-33,55-50q 51r,RRLL,36-8 5-1 33-38,100 / 55q 56r,22.6 20.0,same as Q,30.2 laps (+2.2),,,"old set, still works fine",,,,,,,
,,,,,,,,,,,,,,,,,,
