Circuit,Aero,Differential,Susp. geometry,Suspension,Brakes,Tires Q,Tires R,Compounds,Strategy (50%),,Laps 50%,Creation date,notes,,
Bahrain,46-50q / 43-50r,100-25(30r)-100,LL.05L,41-1-5-21-20-62,100/54-55,min-21.5,26.5-max,C1-C3,HS 18-20 (19) / SH 9-11 (10),,29,Theorycrafted,"26,871 online with smth similar (wings and rh)",,
Saudi Arabia,21-13q / 12-6r,100-25-100,LL.03L,41-11-11-21-21-50,100/52-54,max,max,C2-C4,HM 12-15 (14) / MH 9-11 (9),,25,18/04/2025,race wings are criminal. You will be a mobile chicane in S1 that transforms into a rocketship,,
Australia,27-20q / 23-16r,100-25-100,LL.02L,41-10-9-20-21-50,100/53,max,max,C3-C5,MH 8-11 (10) / HM 15-19 (18),,29,08/03/2025,race wings are LOW btw,,
Japan,28-24,100-30-100,LL.02L,39-12-10-20-22-56,100/52-54,max,max,C1-C3,HM 14-17 (15)/MH 9-11,,27,23/03/2025,"27,115 in-session",,high wings (38-34) not worth
China,37-32q / 34-32r,100-15-100,LLLL,41-15-7-21-22-52,100/52-55,max,max,C2-C4,HM 15-17/MH 10-12,,28,Theorycrafted,turn 1 is brainrot city,,
Miami ,20-24q / 18-24r,100-25(30r)-100,LL.03L,41-1-9-21-20-62,100/52-55(56r),27.0-25.5,27.5-max,C2-C4,HM 15-18 (16) / MH 10-12 (10),,29,14/02/2025,56bb for T17. Old set at the bottom. Softs overheat but can work in overcast weather ig,,
Imola,34-42,100-15(20r)-100,LLLL,41-5-3-21-20-60,100/52-53,23.5-21.5,24.0-25.0-25.0,C3-C5,MH 9-12/HM 20-23/SH 5-7,,32,04/01/2025,track limits are Stalin all over,,S-H isn't it. You will be losing time fast
Monaco,50-50,100-15-100,LL.07L,38-1-3(8)-21-20-63,100/50(52 T1),min all,min-max,C3-C5,MH 10-13/HM 23-25,,39,26/04/2025,horrendous track,,
Canada,34-40,100-20-100,LL.04L,41-1-4-21-19-60,100/52q 53-54r,27.0-22.5,27.0-24.0,C3-C5,HM 19-24/MH 11-15,,35,07/02/2025,good track thanks to game physics. Tire wear = 0 yet again,,
Spain ,48-50,100-15(20r)-100,LLLL,41-18-5-21-21-54,100/52q 54r,max,max,C1-C3,HM 17-20/SM 13/MH 11-13,,33,20/12/2024,"hards are a gigantic piece of shit but softs die VERY rapidly. Mediums are the only ""decent"" race tire",,
Austria,27-33,100-20(25r)-100,LLLL,41-8-4-21-22-55,100/50-54,max,max,C3-C5,MH 8-12 / HM 24-27,,36,10/01/2025,you brake for 4 corners,,
Britain,29-21q / 16-11r,100-25-100,LLLL,40-12-9-20-22-54,100/52-53,max,max,C1-C3,MS 14-16/SM 9-11,,26,11/04/2025,"26,2 in 1 short q, has potential",,"pit lap varies on league, if its a train its 15"
Hungary,50-50,100-15(20r)-100,LL.02L,41-1-13-21-20-50,100/52q 53-54r,25.5-24.5,max,C3-C5,MH 7-11 (10),,35,08/02/2025,"dont push on med, undercut is huge (2-2,5s/lap)",,
Belgium,4-0q / 2-0r,100-25(30r)-100,LLLL,41-15-8-21-18-43,100/53,max,max,C2-C4,HM 11-13/SM 7-9,,22,30/12/2024,"soft good but overheats, need to gap ",,
Netherlands,47-50q / 45-50r,100-10(15r)-100,LL.05L,41-1-3-21-20-63,100/52,28.5-26.5-max,29.0-27.0-max,C1-C3,MS 20-23 (21)/SM 13-16 (15),,36,20/04/2025,save tires first stint at all costs,,
Monza,1-0q / 0-0r,100-25-100,LL.04L,41-1-5-21-21-50,100/50-55,max,max,C3-C5,HM 15-17/MH 8-10,,27,26/04/2025,"was ok in league race, made on the fly",,
Azerbaijan,14-21,100-30-100,LLLL,41-1-4-21-18-60,100/55,26.5-24.5,27.0-25.5,C3-C5,HM 14-17/MH 8-12,,26,25/01/2025,"despite the negative tire wear, softs are not usable. M and H make it from Lap 1",,
Singapore,50-50,100-20(25r)-100,LL.05L,41-1-8(11)-21-20-62,100/52-53q 54r,23.0-22.3,23.0-max,C3-C5,MH 7-11/HM 19-23,,31,08/02/2025,last corner is potentially scary,,10+ front arb is mandatory for race
