DO NOT REQUEST EDITOR ACCESS,,,,,,,,,,,,,
Circuit,Aero,Differential,Susp. geometry,Suspension,Brakes,Tires Q,Tires R,Compounds,Strategy (50%),Laps 50%,Creation date,Notes,
Australia,13-3q 9-3r,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/54-55,max min,max min,C3-C5,"MH 11-13/HM 16-18/MHH 8,19",29,Theorycrafted,c3 good c4 bad,
China,27-18q 22-13r,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/53-55,max min,max min,C2-C4,MH 10-12/HM 16-17,28,Theorycrafted,"low tire wear, easy onestop",
Japan,31-20q 21-9r,100-20q 25r,LLLL,41-1-1-21(5r)-22-40,100/54-55,26.0 min,max min,C1-C3,"MH 10-12/HM 15-17/SMM 7,17",27,Theorycrafted,goat,
Bahrain,28-21q 21-13r,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/55-56,min all,26.0 min,C1-C3,"HM 17-18/MH 11-12/SMM 7,18",29,Theorycrafted,satans own track,
Saudi Arabia,11-0,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/52-54,max min,max min,C3-C5,"MH 11-12/HM 13-14/MHH 6,16",25,Theorycrafted,goat track,
Miami,11-2,100-20q 25r,LLLL,41-1-1-21(5r)-21-40,100/54-56,max min,max min,C3-C5,"MH 12-13/HM 16-17/MHH 7,18",29,Theorycrafted,piss track,
Imola,28-17q 21-11r,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/53-54,24.0 min,max min,C4-C6,"MH 11-13(12)/HM 18-20/MHH 8,20",32,Theorycrafted,goat track,
Monaco,50-50,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/50-53,min all,min all,C4-C6,"MHH 5-7, 22-24",39,Theorycrafted,piss track,undercut to hards is OP
Spain,37-25q 29-20r,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/52-54,max min,max min,C1-C3,"MH 13-15/HM 17-18/SMM 8,21",33,Theorycrafted,good luck overtaking,
Canada,29-17,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/54-56,24.0 min,max min,C4-C6,"MHH 7-9, 21-23/HHM 12-14, 26-28",35,Theorycrafted,mandatory 2 stop. Forget the onestop,
Austria,21-10,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/53-55,max min,max min,C3-C5,"MH 15-16/MHH 9,23",36,Theorycrafted,bumpy,
Great Britain,11-0,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/52-54,max min,max min,C2-C4,"MH 10-11/HM 15-16/MHH 6,16",26,Theorycrafted,good luck overtaking,
Belgium,5-0q 2-0r,100-20q 25r,LLLL,41-1-1-21(5r)-22-40,100/53-55,max all,max all,"C1, C3, C4","MH 8-10/HM 12-14/SMM 4,13",22,Theorycrafted,good luck overtaking,
Hungary,50-47,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/52-54,min all,max min,C3-C5,"MH 14-15/HM 20-21/MHH 9,23",35,Theorycrafted,"yes, it overheats. But it's faster.",
Netherlands,44-37,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/53,max min,max min,C2-C4,"MH 15/MHH 9,23",36,Theorycrafted,tire saving for generations,
Monza,0-0,100-20q 25r,LLLL,41-1-1-21(5r)-23-40,100/53-56,max min,max min,C3-C5,"MH 10-11/MHH 7,17",27,Theorycrafted,tire saving festival,
Azerbaijan,0-2,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/55,max min,max min,C4-C6,"MHH 5-7, 15-17/MH 10/HM 16",26,Theorycrafted,"save rears, 1 stop is incredibly tight",
Singapore,48-50,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/54-56,min all,min all,C3-C5,MH 14-15/HM 17-18/MHH if SC,31,Theorycrafted,actually tested in Q. Solid,
United States,37-22q 34-19r,100-20q 25r,LLLL,41-1-1-21(4r)-19-40,100/53-54,max min,max min,"C1, C3, C4","MH 12-13/HM 16-17/SMM 7,18",28,Theorycrafted,"not a hard one-stopper, save S1",
Mexico,34-25q 13-11r,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/54-56,max min,max min,"C2, C4, C5",MH 11-14/HM 22-25,36,Theorycrafted,ez onestop. Save rears with lico and slow-ish downshifts. Overheating unavoidable,
Brazil,24-15q 20-9r,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/54,max min,max min,C2-C4,MH 13-15/HM 19-22,36,Theorycrafted,easy one stopper now,
Las Vegas,2-0,100-20q 25r,LLLL,41-1-1-21(5r)-23-40,100/54-56,max min,max min,C3-C5,MH 10-12/HM 14-16,25,Theorycrafted,passing is possible here,
Qatar,38-22q 34-22r,100-20q 25r,LLLL,41-1-1-21(5r)-19-40,100/52-53,max min,max min,C1-C3,MH 11-12 / HM 17-18,29,Theorycrafted,management festival,
Abu Dhabi,32-22q 22-10r,100-20q 25r,LLLL,41-1-1-21(5r)-20-40,100/54-56,max min,max min,C3-C5,"MH 10-12/MHH 8,18/HM 17-19",29,Theorycrafted,dogshit track,
,,,,,,,,,,,,,
SETUPS ARE FINAL. NO CHANGES FROM HERE,,,,,,,,,,,,,
Baseline setups for all to use. Race modifications given. Parc Ferme? Race wings and roll-bar.,,,,,,,,,,,,,
"For the 2026 season update, setups will be in another sheet titled F1 26 to avoid confusion with the 25 setups.",,,,,,,,,,,,,
Overtaking in F1 25 is significantly harder than in previous games. Wings are low to allow you to overtake in all scenarios while being lenient on tires,,,,,,,,,,,,,
Strategies are tested beforehand. Note that driving style plays a big role into tire wear. Not all tracks are lenient on tires.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tire Temperatures,,,,Issues,,Fixes,,,FAQ,,,,
Compound,Temp Range (°C),Temp Range (°F),,Understeer,,"more fw, less off diff, lower front arb, lower bbal",,,Why is tire wear so high?,,,,
C1,95 - 115,203 - 239,,Oversteer,,"less fw, more off diff, more front arb, less rear arb",,,"For F1 25, tire wear has been increased at every single circuit to open up race strategy. This makes the one-stopper much more difficult to do (even at the ""easier"" tracks for it like Las Vegas or Suzuka). It's completely normal and often faster to end races with the tires nearing puncture range (anything above 80%)",,,,
C2,85 - 115,185 - 239,,High-speed snap,,"more rw, less rear arb",,,,,,,
C3,85 - 95,185 - 203,,Low-speed snap,,"more rw, higher rear rh",,,Why are the wings so low?,,,,
C4,75 - 95,167 - 203,,Poor traction,,"more rw, higher rear rh",,,"Wings in general run low on F1 25 to allow for overtaking and ERS recharge, and in qualifying, the lower wing allows you to use overtake mode for a little while longer. Dirty air has made overtaking very difficult on F1 25 - particularly in competitive online races. However, some tracks (Monaco) will remain what they are.",,,,
C5,75 - 85,167 - 185,,Poor rotation,,"lower bbal, smoother on brakes",,,,,,,
C6,65 - 85,149 - 185,,Unpredictable high-speed,,"check fw, rw and arbs",,,I can't make the tires last...,,,,
Intermediate,55 - 75,131 - 167,,Unpredictable low-speed,,check rw and arbs,,,"For improved tire wear, try being less aggressive through long corners, mostly via steering input and apex speed. The infamous flick of old has gone in races (save for select corners of select tracks) - making an one-stopper this year requires some seriously good tire saving",,,,
Full Wet,55 - 65,131 - 149,,Can't take kerbs others can,,"check rear pressures, check front rh",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,grande premio de portugal,,,,,,,,
,,,,,rip vro,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
hanoi,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,hockenheim,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
